id,city,name,lat,lon,date,pm10,pm25,no2,so2,co
11,Czerniawa,Czerniawa,50.912475,15.31219,2026-03-31,11.9,0.0,6.1,0.0,0.0
16,Dzierżoniów,"Dzierżoniów, ul. Piłsudskiego",50.732817,16.64805,2026-03-31,5.7,0.0,0.0,0.0,0.0
38,Kłodzko,"Kłodzko, ul. Szkolna",50.433493,16.65366,2026-03-31,13.0,8.1,11.7,0.0,0.0
52,Legnica,"Legnica, Al. Rzeczypospolitej",51.204503,16.180513,2026-03-31,16.3,10.5,10.4,3.3,0.0
70,Oława,"Oława, ul. Żołnierzy Armii Krajowej",50.942073,17.291333,2026-03-31,11.2,7.8,7.5,0.0,0.0
71,Oleśnica,"Oleśnica, ul. Brzozowa",51.217483,17.389997,2026-03-31,0.0,0.0,0.0,0.0,0.0
74,Osieczów,Osieczów,51.31763,15.431719,2026-03-31,0.0,0.0,0.0,0.0,0.0
77,Polkowice,"Polkowice, ul. Kasztanowa",51.50237,16.075051,2026-03-31,0.0,0.0,0.0,0.0,0.0
93,Szczawno-Zdrój,"Szczawno-Zdrój, ul. Kolejowa",50.804189,16.254111,2026-03-31,0.0,0.0,0.0,0.0,0.0
109,Wałbrzych,"Wałbrzych, ul. Wysockiego",50.768729,16.269677,2026-03-31,11.6,8.0,10.2,6.7,0.0
114,Wrocław,"Wrocław, ul. Bartnicza",51.115933,17.141125,2026-03-31,0.0,0.0,3.3,0.0,0.0
115,Wrocław,"Wrocław, ul. Na Grobli",51.103456,17.059225,2026-03-31,0.0,0.0,0.0,0.0,0.0
117,Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",51.129378,17.02925,2026-03-31,0.0,10.0,5.7,6.0,0.17
122,Wrocław,"Wrocław, ul. Orzechowa",51.077525,17.042817,2026-03-31,0.0,0.0,0.0,0.0,0.0
129,Wrocław,"Wrocław, Al. Wiśniowa",51.086225,17.012689,2026-03-31,0.0,11.7,25.9,0.0,0.32
134,Zgorzelec,"Zgorzelec, ul. Bohaterów Getta",51.150391,15.008175,2026-03-31,0.0,0.0,0.0,0.0,0.0
142,Grudziądz,"Grudziądz, ul. Piłsudskiego",53.49355,18.762139,2026-03-31,15.4,0.0,4.8,0.0,0.0
143,Inowrocław,"Inowrocław, ul. Solankowa",52.793122,18.241044,2026-03-31,4.1,0.0,0.0,0.0,0.0
145,Toruń,"Toruń, ul. Wały gen. Sikorskiego",53.012475,18.605681,2026-03-31,9.4,0.0,0.0,0.0,0.0
150,Bydgoszcz,"Bydgoszcz, ul. Fieldorfa",53.151452,18.132062,2026-03-31,0.0,0.0,0.0,0.0,0.0
156,Bydgoszcz,"Bydgoszcz, Pl. Poznański",53.121764,17.987906,2026-03-31,12.2,4.6,29.5,0.0,0.2
158,Bydgoszcz,"Bydgoszcz, ul. Warszawska",53.134083,17.995708,2026-03-31,12.2,8.5,8.0,2.1,0.0
164,Ciechocinek,"Ciechocinek, ul. Tężniowa",52.888422,18.780908,2026-03-31,0.0,0.0,2.7,0.0,0.0
183,Grudziądz,"Grudziądz, ul. Sienkiewicza",53.491831,18.752503,2026-03-31,0.0,0.0,0.0,0.0,0.0
190,Koniczynka,"Koniczynka, Pojezierze Chełmińskie",53.080647,18.684258,2026-03-31,0.0,0.0,5.3,0.0,0.0
206,Toruń,"Toruń, ul. Dziewulskiego",53.028647,18.666103,2026-03-31,4.1,0.0,5.5,3.1,0.0
208,Toruń,"Toruń, ul. Przy Kaszowniku",53.017628,18.612808,2026-03-31,12.4,7.4,3.2,0.0,0.19
225,Włocławek,"Włocławek, ul. Okrzei",52.658467,19.059314,2026-03-31,16.6,7.1,23.3,0.0,0.22
232,Zielonka,"Zielonka, Bory Tucholskie",53.662117,17.934017,2026-03-31,0.0,0.0,0.0,0.0,0.0
236,Biała Podlaska,"Biała Podlaska, ul. Orzechowa",52.029194,23.149389,2026-03-31,24.3,0.0,6.8,0.0,0.0
248,Jarczew,"Jarczew, IMGW",51.814367,21.972375,2026-03-31,0.0,0.0,0.0,0.0,0.0
250,Kraśnik,"Kraśnik, ul. Koszarowa",50.928239,22.228308,2026-03-31,0.0,0.0,0.0,0.0,0.0
258,Lublin,"Lublin, ul. Śliwińskiego",51.273078,22.551675,2026-03-31,0.0,0.0,0.0,0.0,0.0
266,Lublin,"Lublin, ul. Obywatelska",51.259431,22.569133,2026-03-31,18.1,14.1,6.9,5.1,0.12
275,Radzyń Podlaski,"Radzyń Podlaski, ul. Sitkowskiego",51.78,22.625944,2026-03-31,18.3,0.0,0.0,0.0,0.0
282,Wilczopole,Wilczopole,51.163542,22.598608,2026-03-31,0.0,0.0,0.0,0.0,0.0
285,Zamość,"Zamość, ul. Hrubieszowska",50.716628,23.290247,2026-03-31,17.9,15.5,8.3,2.8,0.0
289,Brzeziny,"Brzeziny, ul. Reformacka",51.797806,19.756094,2026-03-31,0.0,0.0,0.0,0.0,0.0
291,Gajew,"Gajew, Ujęcie Wody",52.143258,19.233217,2026-03-31,20.2,0.0,4.9,0.5,0.0
295,Łódź,"Łódź, ul. Czernika",51.75805,19.529786,2026-03-31,9.3,7.8,4.1,0.0,0.0
296,Łódź,"Łódź, ul. Gdańska",51.775378,19.450992,2026-03-31,10.0,0.0,6.6,1.8,0.0
302,Łódź,"Łódź, ul. Legionów",51.776417,19.452936,2026-03-31,0.0,0.0,0.0,0.0,0.0
314,Pabianice,"Pabianice, ul. Konstantynowska",51.667981,19.368683,2026-03-31,12.4,0.0,6.2,0.0,0.0
319,Parzniewice,"Parzniewice, Ujęcie Wody",51.291175,19.517556,2026-03-31,0.0,0.0,3.2,1.9,0.0
322,Piotrków Trybunalski,"Piotrków Trybunalski, ul. Krakowskie Przedmieście",51.404406,19.696956,2026-03-31,8.9,0.0,9.5,0.0,0.22
331,Radomsko,"Radomsko, ul. Rolna",51.067417,19.448714,2026-03-31,21.2,11.5,13.9,5.0,0.0
345,Tomaszów Mazowiecki,Tomaszów Mazowiecki ul. Św. Antoniego,51.526225,20.016858,2026-03-31,0.0,0.0,0.0,0.0,0.0
347,Wieluń,"Wieluń, ul. POW",51.217828,18.581828,2026-03-31,0.0,0.0,0.0,0.0,0.0
350,Zduńska Wola,"Zduńska Wola, ul. Królewska",51.601378,18.940117,2026-03-31,0.0,0.0,0.0,0.0,0.0
355,Zgierz,"Zgierz, ul. Mielczarskiego",51.856692,19.421231,2026-03-31,16.3,11.8,5.5,0.0,0.0
361,Gorzów Wielkopolski,Gorzów Wlkp. ul. Kosynierów Gdyńskich,52.738214,15.228667,2026-03-31,25.6,12.2,9.1,5.9,0.61
362,Gorzów Wielkopolski,Gorzów Wlkp. ul. Piłsudskiego,52.747044,15.246294,2026-03-31,0.0,0.0,0.0,0.0,0.0
374,Smolary Bytnickie,Smolary Bytnickie,52.172222,15.206667,2026-03-31,0.0,0.0,2.7,2.5,0.0
376,Sulęcin,Sulęcin ul. Dudka,52.437722,15.122444,2026-03-31,16.3,8.9,5.5,0.0,0.0
379,Wschowa,Wschowa ul. Kazimierza Wielkiego,51.799722,16.3175,2026-03-31,13.7,9.1,15.5,0.0,0.0
382,Żary,"Żary, ul. Szymanowskiego",51.642656,15.127808,2026-03-31,8.7,5.1,3.4,3.0,1.29
387,Zielona Góra,Zielona Góra ul. Krótka,51.939783,15.518861,2026-03-31,10.9,4.8,6.2,8.9,0.0
391,Bochnia,"Bochnia, ul. Konfederatów Barskich",49.969017,20.439511,2026-03-31,0.0,0.0,0.0,0.0,0.0
398,Gorlice,"Gorlice, ul. Krasińskiego",49.658889,21.163336,2026-03-31,0.0,0.0,0.0,0.0,0.0
400,Kraków,"Kraków, Aleja Krasińskiego",50.057678,19.926189,2026-03-31,14.9,12.1,43.3,0.0,0.36
401,Kraków,"Kraków, ul. Bujaka",50.010575,19.949189,2026-03-31,15.5,0.0,23.2,3.0,0.0
402,Kraków,"Kraków, ul. Bulwarowa",50.069308,20.053492,2026-03-31,13.5,10.6,20.4,2.4,0.0
426,Nowy Sącz,"Nowy Sącz, ul. Nadbrzeżna",49.619281,20.714403,2026-03-31,34.9,26.4,0.0,3.9,0.0
437,Skawina,"Skawina, Os. Ogrody",49.971047,19.830422,2026-03-31,17.2,0.0,20.2,1.2,0.0
443,Szymbark,Szymbark,49.633714,21.116833,2026-03-31,10.2,0.0,6.0,0.7,0.0
444,Tarnów,"Tarnów, ul. Bitwy pod Studziankami",50.020169,21.004167,2026-03-31,23.0,17.5,18.2,5.7,0.0
449,Trzebinia,"Trzebinia, Os. Związku Walki Młodych",50.159406,19.477464,2026-03-31,9.9,0.0,0.0,7.5,0.38
450,Tuchów,"Tuchów, ul. Chopina",49.894169,21.051061,2026-03-31,0.0,0.0,0.0,0.0,0.0
455,Niepołomice,"Niepołomice, ul. 3 Maja",50.035117,20.212689,2026-03-31,9.4,0.0,0.0,0.0,0.0
459,Zakopane,"Zakopane, ul. Sienkiewicza",49.293564,19.960083,2026-03-31,13.5,0.0,18.0,0.0,0.0
460,Belsk Duży,"Belsk Duży, IGF PAN",51.835242,20.791912,2026-03-31,17.5,0.0,5.0,0.3,0.17
466,Granica,"Granica, KPN",52.285858,20.454653,2026-03-31,0.0,0.0,2.5,1.0,0.0
471,Legionowo,"Legionowo, ul. Zegrzyńska",52.407578,20.955928,2026-03-31,11.1,7.2,7.3,1.8,0.0
485,Otwock,"Otwock, ul. Brzozowa",52.115725,21.237297,2026-03-31,20.7,13.6,5.0,0.5,1.4
488,Piastów,"Piastów, ul. Pułaskiego",52.191728,20.837489,2026-03-31,20.9,11.4,17.4,1.4,0.0
497,Płock,"Płock, ul. Królowej Jadwigi",52.556279,19.687672,2026-03-31,0.0,0.0,0.0,19.5,0.0
501,Płock,"Płock, ul. Reja",52.550938,19.709791,2026-03-31,14.4,5.9,8.1,11.7,0.23
510,Radom,"Radom, ul. 25 Czerwca",51.40608,21.166819,2026-03-31,0.0,0.0,0.0,0.0,0.0
512,Radom,"Radom, ul. Hallera",51.415324,21.171285,2026-03-31,0.0,0.0,0.0,0.0,0.0
515,Radom,"Radom, ul. Tochtermana",51.399084,21.147474,2026-03-31,26.0,14.8,11.5,2.5,0.0
517,Siedlce,"Siedlce, ul. Konarskiego",52.172145,22.282001,2026-03-31,37.6,11.4,0.0,0.0,0.0
530,Warszawa,"Warszawa, Al. Niepodległości",52.219298,21.004724,2026-03-31,70.3,16.6,34.6,0.0,0.47
532,Warszawa,"Warszawa, ul. Krzywoń",52.228649,20.917513,2026-03-31,0.0,0.0,0.0,0.0,0.0
538,Warszawa,"Warszawa, ul. Tołstoja",52.285073,20.933018,2026-03-31,5.6,3.5,0.0,0.0,0.0
550,Warszawa,"Warszawa, ul. Wokalna",52.160772,21.033819,2026-03-31,16.1,8.7,8.2,0.0,0.0
552,Warszawa,"Warszawa, ul. Kondratowicza",52.290864,21.042458,2026-03-31,27.5,9.3,9.6,0.0,0.0
562,Żyrardów,"Żyrardów, ul. Roosevelta",52.053811,20.429892,2026-03-31,16.5,6.2,0.0,0.0,0.0
568,Kędzierzyn-Koźle,"Kędzierzyn-Koźle, ul. Śmiałego",50.349608,18.236575,2026-03-31,10.3,7.5,6.0,4.0,0.0
577,Kluczbork,"Kluczbork, ul. Mickiewicza",50.972181,18.207575,2026-03-31,26.7,0.0,0.0,0.0,0.0
584,Olesno,"Olesno, ul. Słowackiego",50.876983,18.416878,2026-03-31,22.5,0.0,8.8,0.0,0.0
590,Opole,"Opole, Os. Armii Krajowej",50.676856,17.950278,2026-03-31,0.0,0.0,6.3,3.1,0.0
600,Zdzieszowice,"Zdzieszowice, ul. Piastów",50.423533,18.120739,2026-03-31,16.9,0.0,3.7,0.0,0.0
609,Białystok,"Białystok, ul. Warszawska",53.129306,23.181744,2026-03-31,25.0,12.0,0.0,0.0,0.0
612,Borsukowizna,"Borsukowizna, Szkółka Leśna",53.215492,23.642153,2026-03-31,6.5,5.4,1.6,0.3,0.0
618,Łomża,"Łomża, ul. Sikorskiego",53.181394,22.054381,2026-03-31,15.4,6.8,3.6,5.5,0.0
631,Jarosław,"Jarosław, ul. Pruchnicka",50.012083,22.674772,2026-03-31,21.2,17.9,0.0,0.0,0.0
638,Jasło,"Jaslo, ul. Sikorskiego",49.744886,21.454617,2026-03-31,22.1,9.6,5.2,0.0,0.0
646,Krosno,"Krosno, ul. Kletówki",49.690169,21.7497,2026-03-31,26.4,23.2,0.0,0.0,0.0
659,Nisko,"Nisko, ul. Szklarniowa",50.529892,22.112467,2026-03-31,16.3,12.9,16.4,0.0,0.28
